,gpsx,gpsy,gpsz,time_image,time_gps,diff
0,392433178,30036217,500219726,1900-01-01 00:34:25.755970,1900-01-01 00:34:25.794250,0.03828
1,392433178,30036217,500219726,1900-01-01 00:34:25.804108,1900-01-01 00:34:25.794250,0.009858
2,392433178,30036217,500219726,1900-01-01 00:34:26.074234,1900-01-01 00:34:26.097233,0.022999
3,392433178,30036217,500219726,1900-01-01 00:34:26.342363,1900-01-01 00:34:26.336216,0.006147
4,392433178,30036217,500219726,1900-01-01 00:34:26.610403,1900-01-01 00:34:26.591289,0.019114
5,392433178,30036217,500219726,1900-01-01 00:34:26.878570,1900-01-01 00:34:26.892305,0.013735
6,392433178,30036217,500219726,1900-01-01 00:34:27.146704,1900-01-01 00:34:27.194301,0.047597
7,392433178,30036217,500219726,1900-01-01 00:34:27.414915,1900-01-01 00:34:27.398326,0.016589
8,392433178,30036217,500219726,1900-01-01 00:34:27.683188,1900-01-01 00:34:27.697375,0.014187
9,392433180,30036218,500219727,1900-01-01 00:34:27.951566,1900-01-01 00:34:27.996395,0.044829
10,392433178,30036217,500219726,1900-01-01 00:34:28.219878,1900-01-01 00:34:28.236367,0.016489
11,392433180,30036218,500219727,1900-01-01 00:34:28.488116,1900-01-01 00:34:28.535505,0.047389
12,392433179,30036218,500219727,1900-01-01 00:34:28.756363,1900-01-01 00:34:28.736333,0.02003
13,392433179,30036218,500219727,1900-01-01 00:34:29.024510,1900-01-01 00:34:29.035339,0.010829
14,392433180,30036219,500219727,1900-01-01 00:34:29.292586,1900-01-01 00:34:29.234337,0.058249
15,392433179,30036218,500219726,1900-01-01 00:34:29.560644,1900-01-01 00:34:29.590322,0.029678
16,392433181,30036219,500219727,1900-01-01 00:34:29.828693,1900-01-01 00:34:29.835292,0.006599
17,392433184,30036220,500219724,1900-01-01 00:34:30.096748,1900-01-01 00:34:30.033371,0.063377
18,392433193,30036225,500219718,1900-01-01 00:34:30.364702,1900-01-01 00:34:30.396388,0.031686
19,392433203,30036232,500219714,1900-01-01 00:34:30.632683,1900-01-01 00:34:30.594381,0.038302
20,392433223,30036243,500219711,1900-01-01 00:34:30.900692,1900-01-01 00:34:30.893346,0.007346
21,392433244,30036254,500219713,1900-01-01 00:34:31.168506,1900-01-01 00:34:31.192369,0.023863
22,392433257,30036258,500219715,1900-01-01 00:34:31.436245,1900-01-01 00:34:31.391345,0.0449
23,392433275,30036263,500219719,1900-01-01 00:34:31.704159,1900-01-01 00:34:31.697373,0.006786
24,392433291,30036266,500219724,1900-01-01 00:34:31.971991,1900-01-01 00:34:31.989366,0.017375
25,392433306,30036268,500219730,1900-01-01 00:34:32.239775,1900-01-01 00:34:32.233359,0.006416
26,392433316,30036267,500219735,1900-01-01 00:34:32.507699,1900-01-01 00:34:32.439365,0.068334
27,392433329,30036265,500219743,1900-01-01 00:34:32.776058,1900-01-01 00:34:32.814378,0.03832
28,392433338,30036263,500219749,1900-01-01 00:34:33.044141,1900-01-01 00:34:33.015330,0.028811
29,392433352,30036258,500219761,1900-01-01 00:34:33.312047,1900-01-01 00:34:33.317378,0.005331
30,392433362,30036253,500219771,1900-01-01 00:34:33.579693,1900-01-01 00:34:33.617409,0.037716
31,392433373,30036247,500219782,1900-01-01 00:34:33.847488,1900-01-01 00:34:33.853380,0.005892
32,392433380,30036241,500219792,1900-01-01 00:34:34.115507,1900-01-01 00:34:34.118379,0.002872
33,392433389,30036233,500219804,1900-01-01 00:34:34.383618,1900-01-01 00:34:34.416434,0.032816
34,392433395,30036226,500219814,1900-01-01 00:34:34.651841,1900-01-01 00:34:34.616402,0.035439
35,392433404,30036216,500219829,1900-01-01 00:34:34.919797,1900-01-01 00:34:34.915368,0.004429
36,392433412,30036204,500219845,1900-01-01 00:34:35.187720,1900-01-01 00:34:35.213384,0.025664
37,392433417,30036196,500219856,1900-01-01 00:34:35.455677,1900-01-01 00:34:35.414386,0.041291
38,392433424,30036184,500219873,1900-01-01 00:34:35.723648,1900-01-01 00:34:35.715369,0.008279
39,392433430,30036171,500219891,1900-01-01 00:34:35.991686,1900-01-01 00:34:36.013391,0.021705
40,392433434,30036162,500219904,1900-01-01 00:34:36.259652,1900-01-01 00:34:36.212391,0.047261
41,392433440,30036149,500219923,1900-01-01 00:34:36.527510,1900-01-01 00:34:36.510416,0.017094
42,392433445,30036136,500219943,1900-01-01 00:34:36.795588,1900-01-01 00:34:36.807397,0.011809
43,392433450,30036123,500219962,1900-01-01 00:34:37.063497,1900-01-01 00:34:37.112505,0.049008
44,392433453,30036113,500219976,1900-01-01 00:34:37.331511,1900-01-01 00:34:37.313415,0.018096
45,392433458,30036100,500219996,1900-01-01 00:34:37.599515,1900-01-01 00:34:37.613391,0.013876
46,392433462,30036085,500220017,1900-01-01 00:34:37.867504,1900-01-01 00:34:37.857398,0.010106
47,392433465,30036071,500220039,1900-01-01 00:34:38.135627,1900-01-01 00:34:38.156427,0.0208
48,392433468,30036061,500220053,1900-01-01 00:34:38.403529,1900-01-01 00:34:38.417439,0.01391
49,392433471,30036052,500220065,1900-01-01 00:34:38.671532,1900-01-01 00:34:38.714414,0.042882
50,392433471,30036052,500220065,1900-01-01 00:34:38.939497,1900-01-01 00:34:38.913353,0.026144
51,392433471,30036052,500220065,1900-01-01 00:34:39.207721,1900-01-01 00:34:39.211414,0.003693
52,392433471,30036052,500220065,1900-01-01 00:34:39.476051,1900-01-01 00:34:39.509448,0.033397
53,392433471,30036052,500220065,1900-01-01 00:34:39.744578,1900-01-01 00:34:39.708417,0.036161
54,392433486,30036003,500220060,1900-01-01 00:34:40.013219,1900-01-01 00:34:39.954409,0.05881
55,392433493,30035996,500220050,1900-01-01 00:34:40.282023,1900-01-01 00:34:40.314428,0.032405
56,392433498,30035993,500220043,1900-01-01 00:34:40.550508,1900-01-01 00:34:40.513411,0.037097
57,392433506,30035989,500220030,1900-01-01 00:34:40.819089,1900-01-01 00:34:40.812397,0.006692
58,392433515,30035984,500220015,1900-01-01 00:34:41.087556,1900-01-01 00:34:41.113431,0.025875
59,392433521,30035980,500220004,1900-01-01 00:34:41.356016,1900-01-01 00:34:41.312404,0.043612
60,392433529,30035975,500219991,1900-01-01 00:34:41.625077,1900-01-01 00:34:41.611403,0.013674
61,392433535,30035968,500219980,1900-01-01 00:34:41.894050,1900-01-01 00:34:41.915711,0.021661
62,392433537,30035962,500219976,1900-01-01 00:34:42.162539,1900-01-01 00:34:42.114418,0.048121
63,392433537,30035950,500219973,1900-01-01 00:34:42.431223,1900-01-01 00:34:42.417446,0.013777
64,392433534,30035936,500219975,1900-01-01 00:34:42.699524,1900-01-01 00:34:42.731457,0.031933
65,392433530,30035926,500219981,1900-01-01 00:34:42.967750,1900-01-01 00:34:42.932449,0.035301
66,392433518,30035914,500220002,1900-01-01 00:34:43.235975,1900-01-01 00:34:43.234441,0.001534
67,392433501,30035911,500220031,1900-01-01 00:34:43.504212,1900-01-01 00:34:43.532380,0.028168
68,392433490,30035912,500220051,1900-01-01 00:34:43.772275,1900-01-01 00:34:43.731417,0.040858
69,392433473,30035919,500220082,1900-01-01 00:34:44.040240,1900-01-01 00:34:44.029439,0.010801
70,392433461,30035930,500220109,1900-01-01 00:34:44.308203,1900-01-01 00:34:44.327427,0.019224
71,392433459,30035932,500220113,1900-01-01 00:34:44.575891,1900-01-01 00:34:44.526468,0.049423
72,392433459,30035932,500220113,1900-01-01 00:34:44.843616,1900-01-01 00:34:44.831436,0.01218
73,392433459,30035932,500220113,1900-01-01 00:34:45.111755,1900-01-01 00:34:45.132448,0.020693
74,392433459,30035932,500220113,1900-01-01 00:34:45.379914,1900-01-01 00:34:45.331443,0.048471
75,392433459,30035932,500220113,1900-01-01 00:34:45.648204,1900-01-01 00:34:45.630466,0.017738
76,392433459,30035932,500220113,1900-01-01 00:34:45.916439,1900-01-01 00:34:45.928451,0.012012
77,392433459,30035932,500220113,1900-01-01 00:34:46.184616,1900-01-01 00:34:46.226467,0.041851
78,392433459,30035932,500220113,1900-01-01 00:34:46.452881,1900-01-01 00:34:46.428455,0.024426
79,392433459,30035932,500220113,1900-01-01 00:34:46.721202,1900-01-01 00:34:46.727433,0.006231
80,392433459,30035932,500220113,1900-01-01 00:34:46.989569,1900-01-01 00:34:47.025496,0.035927
81,392433459,30035932,500220113,1900-01-01 00:34:47.257652,1900-01-01 00:34:47.225458,0.032194
82,392433459,30035932,500220113,1900-01-01 00:34:47.525872,1900-01-01 00:34:47.522509,0.003363
83,392433459,30035932,500220113,1900-01-01 00:34:47.793985,1900-01-01 00:34:47.821475,0.02749
84,392433459,30035932,500220113,1900-01-01 00:34:48.062166,1900-01-01 00:34:48.019448,0.042718
85,392433459,30035932,500220113,1900-01-01 00:34:48.330124,1900-01-01 00:34:48.319418,0.010706
86,392433459,30035932,500220113,1900-01-01 00:34:48.598517,1900-01-01 00:34:48.626472,0.027955
87,392433459,30035932,500220113,1900-01-01 00:34:48.866800,1900-01-01 00:34:48.825475,0.041325
88,392433459,30035932,500220113,1900-01-01 00:34:49.135331,1900-01-01 00:34:49.124502,0.010829
89,392433419,30036182,500219971,1900-01-01 00:34:49.404132,1900-01-01 00:34:49.424454,0.020322
90,392433406,30036181,500219974,1900-01-01 00:34:49.673203,1900-01-01 00:34:49.721532,0.048329
91,392433398,30036182,500219976,1900-01-01 00:34:49.942093,1900-01-01 00:34:49.919470,0.022623
92,392433383,30036191,500219978,1900-01-01 00:34:50.210515,1900-01-01 00:34:50.219458,0.008943
93,392433371,30036204,500219980,1900-01-01 00:34:50.479408,1900-01-01 00:34:50.517533,0.038125
94,392433360,30036219,500219979,1900-01-01 00:34:50.748793,1900-01-01 00:34:50.763453,0.01466
95,392433354,30036229,500219977,1900-01-01 00:34:51.018126,1900-01-01 00:34:50.963445,0.054681
96,392433347,30036241,500219975,1900-01-01 00:34:51.287008,1900-01-01 00:34:51.324519,0.037511
97,392433343,30036248,500219974,1900-01-01 00:34:51.555846,1900-01-01 00:34:51.523476,0.03237
98,392433338,30036256,500219974,1900-01-01 00:34:51.825282,1900-01-01 00:34:51.823473,0.001809
99,392433333,30036260,500219977,1900-01-01 00:34:52.094558,1900-01-01 00:34:52.121541,0.026983
100,392433331,30036261,500219981,1900-01-01 00:34:52.363896,1900-01-01 00:34:52.321491,0.042405
101,392433329,30036260,500219990,1900-01-01 00:34:52.633152,1900-01-01 00:34:52.633517,0.000365
102,392433327,30036255,500220005,1900-01-01 00:34:52.902735,1900-01-01 00:34:52.930596,0.027861
103,392433323,30036250,500220015,1900-01-01 00:34:53.172344,1900-01-01 00:34:53.130510,0.041834
104,392433310,30036244,500220031,1900-01-01 00:34:53.441748,1900-01-01 00:34:53.429509,0.012239
105,392433288,30036241,500220051,1900-01-01 00:34:53.710932,1900-01-01 00:34:53.729608,0.018676
106,392433264,30036243,500220069,1900-01-01 00:34:53.980343,1900-01-01 00:34:54.035599,0.055256
107,392433249,30036247,500220079,1900-01-01 00:34:54.249437,1900-01-01 00:34:54.234639,0.014798
108,392433232,30036256,500220087,1900-01-01 00:34:54.518945,1900-01-01 00:34:54.532519,0.013574
109,392433222,30036268,500220088,1900-01-01 00:34:54.788264,1900-01-01 00:34:54.830622,0.042358
110,392433217,30036280,500220084,1900-01-01 00:34:55.057267,1900-01-01 00:34:55.029508,0.027759
111,392433214,30036300,500220072,1900-01-01 00:34:55.326012,1900-01-01 00:34:55.329523,0.003511
112,392433218,30036321,500220058,1900-01-01 00:34:55.594923,1900-01-01 00:34:55.627686,0.032763
113,392433222,30036335,500220049,1900-01-01 00:34:55.863930,1900-01-01 00:34:55.828518,0.035412
114,392433233,30036355,500220034,1900-01-01 00:34:56.132908,1900-01-01 00:34:56.130607,0.002301
115,392433248,30036372,500220018,1900-01-01 00:34:56.401456,1900-01-01 00:34:56.437543,0.036087
116,392433260,30036381,500220008,1900-01-01 00:34:56.669788,1900-01-01 00:34:56.635498,0.03429
117,392433280,30036395,500219995,1900-01-01 00:34:56.938006,1900-01-01 00:34:56.934528,0.003478
118,392433301,30036407,500219984,1900-01-01 00:34:57.206103,1900-01-01 00:34:57.235714,0.029611
119,392433315,30036414,500219978,1900-01-01 00:34:57.473986,1900-01-01 00:34:57.435505,0.038481
120,392433337,30036424,500219969,1900-01-01 00:34:57.742313,1900-01-01 00:34:57.735566,0.006747
121,392433360,30036433,500219962,1900-01-01 00:34:58.010476,1900-01-01 00:34:58.036565,0.026089
122,392433375,30036438,500219959,1900-01-01 00:34:58.278797,1900-01-01 00:34:58.238561,0.040236
123,392433397,30036444,500219955,1900-01-01 00:34:58.547060,1900-01-01 00:34:58.536570,0.01049
124,392433414,30036448,500219946,1900-01-01 00:34:58.815423,1900-01-01 00:34:58.835721,0.020298
125,392433426,30036451,500219934,1900-01-01 00:34:59.083856,1900-01-01 00:34:59.131690,0.047834
126,392433432,30036450,500219924,1900-01-01 00:34:59.352322,1900-01-01 00:34:59.330673,0.021649
127,392433437,30036447,500219908,1900-01-01 00:34:59.620895,1900-01-01 00:34:59.629682,0.008787
128,392433441,30036441,500219890,1900-01-01 00:34:59.889268,1900-01-01 00:34:59.872646,0.016622
129,392433444,30036436,500219877,1900-01-01 00:35:00.157700,1900-01-01 00:35:00.134670,0.02303
130,392433447,30036427,500219858,1900-01-01 00:35:00.426210,1900-01-01 00:35:00.433659,0.007449
131,392433450,30036417,500219839,1900-01-01 00:35:00.694842,1900-01-01 00:35:00.734691,0.039849
132,392433451,30036410,500219826,1900-01-01 00:35:00.962494,1900-01-01 00:35:00.933670,0.028824
133,392433453,30036401,500219807,1900-01-01 00:35:01.230839,1900-01-01 00:35:01.232684,0.001845
134,392433456,30036392,500219789,1900-01-01 00:35:01.499008,1900-01-01 00:35:01.533720,0.034712
135,392433458,30036386,500219777,1900-01-01 00:35:01.767400,1900-01-01 00:35:01.732670,0.03473
136,392433463,30036377,500219759,1900-01-01 00:35:02.035667,1900-01-01 00:35:02.030677,0.00499
137,392433469,30036368,500219742,1900-01-01 00:35:02.303965,1900-01-01 00:35:02.329703,0.025738
138,392433474,30036363,500219732,1900-01-01 00:35:02.572417,1900-01-01 00:35:02.527672,0.044745
139,392433485,30036355,500219720,1900-01-01 00:35:02.840826,1900-01-01 00:35:02.842690,0.001864
140,392433498,30036347,500219712,1900-01-01 00:35:03.108618,1900-01-01 00:35:03.150853,0.042235
141,392433508,30036341,500219708,1900-01-01 00:35:03.376788,1900-01-01 00:35:03.349769,0.027019
142,392433521,30036332,500219703,1900-01-01 00:35:03.644687,1900-01-01 00:35:03.649785,0.005098
143,392433531,30036321,500219702,1900-01-01 00:35:03.912683,1900-01-01 00:35:03.947830,0.035147
144,392433536,30036312,500219702,1900-01-01 00:35:04.180732,1900-01-01 00:35:04.146777,0.033955
145,392433543,30036298,500219702,1900-01-01 00:35:04.448727,1900-01-01 00:35:04.446716,0.002011
146,392433551,30036286,500219699,1900-01-01 00:35:04.716746,1900-01-01 00:35:04.744829,0.028083
147,392433557,30036281,500219696,1900-01-01 00:35:04.984796,1900-01-01 00:35:04.945817,0.038979
148,392433568,30036273,500219690,1900-01-01 00:35:05.252842,1900-01-01 00:35:05.244807,0.008035
149,392433579,30036267,500219682,1900-01-01 00:35:05.521031,1900-01-01 00:35:05.542847,0.021816
150,392433591,30036260,500219674,1900-01-01 00:35:05.789134,1900-01-01 00:35:05.788800,0.000334
151,392433598,30036255,500219669,1900-01-01 00:35:06.057359,1900-01-01 00:35:06.048791,0.008568
152,392433608,30036245,500219663,1900-01-01 00:35:06.325408,1900-01-01 00:35:06.350853,0.025445
153,392433614,30036237,500219659,1900-01-01 00:35:06.593547,1900-01-01 00:35:06.549792,0.043755
154,392433621,30036223,500219655,1900-01-01 00:35:06.861583,1900-01-01 00:35:06.847812,0.013771
155,392433625,30036207,500219653,1900-01-01 00:35:07.129646,1900-01-01 00:35:07.150866,0.02122
156,392433626,30036195,500219654,1900-01-01 00:35:07.397642,1900-01-01 00:35:07.349803,0.047839
157,392433625,30036177,500219655,1900-01-01 00:35:07.665683,1900-01-01 00:35:07.647813,0.01787
158,392433623,30036159,500219656,1900-01-01 00:35:07.933592,1900-01-01 00:35:07.945859,0.012267
159,392433619,30036141,500219658,1900-01-01 00:35:08.201593,1900-01-01 00:35:08.241897,0.040304
160,392433616,30036128,500219660,1900-01-01 00:35:08.469579,1900-01-01 00:35:08.441822,0.027757
161,392433613,30036111,500219666,1900-01-01 00:35:08.737537,1900-01-01 00:35:08.740851,0.003314
162,392433614,30036095,500219677,1900-01-01 00:35:09.005384,1900-01-01 00:35:09.040906,0.035522
163,392433615,30036086,500219688,1900-01-01 00:35:09.273266,1900-01-01 00:35:09.238846,0.03442
164,392433616,30036080,500219710,1900-01-01 00:35:09.541172,1900-01-01 00:35:09.545861,0.004689
165,392433615,30036085,500219737,1900-01-01 00:35:09.809096,1900-01-01 00:35:09.844912,0.035816
166,392433613,30036090,500219755,1900-01-01 00:35:10.076992,1900-01-01 00:35:10.042863,0.034129
167,392433607,30036098,500219781,1900-01-01 00:35:10.344805,1900-01-01 00:35:10.342857,0.001948
168,392433599,30036106,500219805,1900-01-01 00:35:10.612606,1900-01-01 00:35:10.647896,0.03529
169,392433591,30036111,500219821,1900-01-01 00:35:10.880712,1900-01-01 00:35:10.848843,0.031869
170,392433580,30036117,500219843,1900-01-01 00:35:11.148875,1900-01-01 00:35:11.147855,0.00102
171,392433567,30036122,500219864,1900-01-01 00:35:11.417042,1900-01-01 00:35:11.447891,0.030849
172,392433557,30036124,500219877,1900-01-01 00:35:11.685207,1900-01-01 00:35:11.647872,0.037335
173,392433541,30036127,500219896,1900-01-01 00:35:11.953547,1900-01-01 00:35:11.948866,0.004681
174,392433524,30036129,500219915,1900-01-01 00:35:12.221472,1900-01-01 00:35:12.190861,0.030611
175,392433512,30036130,500219929,1900-01-01 00:35:12.489900,1900-01-01 00:35:12.454826,0.035074
176,392433495,30036131,500219950,1900-01-01 00:35:12.758194,1900-01-01 00:35:12.771884,0.01369
177,392433488,30036132,500219960,1900-01-01 00:35:13.026577,1900-01-01 00:35:13.069887,0.04331
178,392433488,30036132,500219960,1900-01-01 00:35:13.295116,1900-01-01 00:35:13.267859,0.027257
179,392433488,30036132,500219960,1900-01-01 00:35:13.563602,1900-01-01 00:35:13.564856,0.001254
180,392433488,30036132,500219960,1900-01-01 00:35:13.832167,1900-01-01 00:35:13.867878,0.035711
181,392433488,30036132,500219960,1900-01-01 00:35:14.100770,1900-01-01 00:35:14.064866,0.035904
182,392433488,30036132,500219960,1900-01-01 00:35:14.369608,1900-01-01 00:35:14.363864,0.005744
183,392433488,30036132,500219960,1900-01-01 00:35:14.638572,1900-01-01 00:35:14.660873,0.022301
184,392433488,30036132,500219960,1900-01-01 00:35:14.906937,1900-01-01 00:35:14.858900,0.048037
185,392433488,30036132,500219960,1900-01-01 00:35:15.176240,1900-01-01 00:35:15.102881,0.073359
186,392433488,30036132,500219960,1900-01-01 00:35:15.445960,1900-01-01 00:35:15.464890,0.01893
187,392433488,30036132,500219960,1900-01-01 00:35:15.715348,1900-01-01 00:35:15.763901,0.048553
188,392433488,30036132,500219960,1900-01-01 00:35:15.985586,1900-01-01 00:35:15.966890,0.018696
189,392433488,30036132,500219960,1900-01-01 00:35:16.255649,1900-01-01 00:35:16.265915,0.010266
190,392433488,30036132,500219960,1900-01-01 00:35:16.526253,1900-01-01 00:35:16.567927,0.041674
191,392433488,30036132,500219960,1900-01-01 00:35:16.796578,1900-01-01 00:35:16.767907,0.028671
192,392433488,30036132,500219960,1900-01-01 00:35:17.067142,1900-01-01 00:35:17.065910,0.001232
193,392433488,30036132,500219960,1900-01-01 00:35:17.336827,1900-01-01 00:35:17.362907,0.02608
194,392433488,30036132,500219960,1900-01-01 00:35:17.607320,1900-01-01 00:35:17.560998,0.046322
195,392433488,30036132,500219960,1900-01-01 00:35:17.877700,1900-01-01 00:35:17.858905,0.018795
196,392433488,30036132,500219960,1900-01-01 00:35:18.147733,1900-01-01 00:35:18.155922,0.008189
197,392433488,30036132,500219960,1900-01-01 00:35:18.417904,1900-01-01 00:35:18.455963,0.038059
198,392433488,30036132,500219960,1900-01-01 00:35:18.687138,1900-01-01 00:35:18.652907,0.034231
199,392433488,30036132,500219960,1900-01-01 00:35:18.956392,1900-01-01 00:35:18.960908,0.004516
200,392433488,30036132,500219960,1900-01-01 00:35:19.225966,1900-01-01 00:35:19.258914,0.032948
201,392433488,30036132,500219960,1900-01-01 00:35:19.495380,1900-01-01 00:35:19.455902,0.039478
202,392433488,30036132,500219960,1900-01-01 00:35:19.763681,1900-01-01 00:35:19.753914,0.009767
203,392433488,30036132,500219960,1900-01-01 00:35:20.032012,1900-01-01 00:35:20.053918,0.021906
204,392433488,30036132,500219960,1900-01-01 00:35:20.300183,1900-01-01 00:35:20.250944,0.049239
205,392433488,30036132,500219960,1900-01-01 00:35:20.568502,1900-01-01 00:35:20.551942,0.01656
206,392433488,30036132,500219960,1900-01-01 00:35:20.836691,1900-01-01 00:35:20.794915,0.041776
207,392433488,30036132,500219960,1900-01-01 00:35:21.104854,1900-01-01 00:35:21.097931,0.006923
208,392433488,30036132,500219960,1900-01-01 00:35:21.373025,1900-01-01 00:35:21.362959,0.010066
209,392433488,30036132,500219960,1900-01-01 00:35:21.641406,1900-01-01 00:35:21.661916,0.02051
210,392433488,30036132,500219960,1900-01-01 00:35:21.909784,1900-01-01 00:35:21.860899,0.048885
211,392433488,30036132,500219960,1900-01-01 00:35:22.178142,1900-01-01 00:35:22.161884,0.016258
212,392433488,30036132,500219960,1900-01-01 00:35:22.446528,1900-01-01 00:35:22.460945,0.014417
213,392433429,30036106,500220006,1900-01-01 00:35:22.714879,1900-01-01 00:35:22.661943,0.052936
214,392433427,30036103,500220000,1900-01-01 00:35:22.983343,1900-01-01 00:35:22.981928,0.001415
215,392433422,30036108,500219992,1900-01-01 00:35:23.251770,1900-01-01 00:35:23.278943,0.027173
216,392433420,30036114,500219988,1900-01-01 00:35:23.520078,1900-01-01 00:35:23.480934,0.039144
217,392433419,30036116,500219987,1900-01-01 00:35:23.788411,1900-01-01 00:35:23.778951,0.00946
218,392433414,30036145,500219969,1900-01-01 00:35:24.056821,1900-01-01 00:35:24.077948,0.021127
219,392433413,30036155,500219962,1900-01-01 00:35:24.325109,1900-01-01 00:35:24.277947,0.047162
220,392433413,30036167,500219953,1900-01-01 00:35:24.593356,1900-01-01 00:35:24.574925,0.018431
221,392433412,30036174,500219945,1900-01-01 00:35:24.861573,1900-01-01 00:35:24.873912,0.012339
222,392433412,30036177,500219938,1900-01-01 00:35:25.129683,1900-01-01 00:35:25.182965,0.053282
223,392433412,30036177,500219935,1900-01-01 00:35:25.397937,1900-01-01 00:35:25.381947,0.01599
224,392433413,30036174,500219934,1900-01-01 00:35:25.666079,1900-01-01 00:35:25.682978,0.016899
225,392433415,30036169,500219938,1900-01-01 00:35:25.934247,1900-01-01 00:35:25.983980,0.049733
226,392433417,30036164,500219944,1900-01-01 00:35:26.202614,1900-01-01 00:35:26.180962,0.021652
227,392433418,30036157,500219957,1900-01-01 00:35:26.470890,1900-01-01 00:35:26.477962,0.007072
228,392433416,30036150,500219972,1900-01-01 00:35:26.739172,1900-01-01 00:35:26.777005,0.037833
229,392433415,30036147,500219978,1900-01-01 00:35:27.007451,1900-01-01 00:35:26.975934,0.031517
230,392433415,30036147,500219978,1900-01-01 00:35:27.275766,1900-01-01 00:35:27.274964,0.000802
231,392433415,30036147,500219978,1900-01-01 00:35:27.544236,1900-01-01 00:35:27.581989,0.037753
232,392433415,30036147,500219978,1900-01-01 00:35:27.812680,1900-01-01 00:35:27.779942,0.032738
233,392433415,30036147,500219978,1900-01-01 00:35:28.081212,1900-01-01 00:35:28.078969,0.002243
234,392433415,30036147,500219978,1900-01-01 00:35:28.349582,1900-01-01 00:35:28.376014,0.026432
235,392433415,30036147,500219978,1900-01-01 00:35:28.617887,1900-01-01 00:35:28.574978,0.042909
236,392433415,30036147,500219978,1900-01-01 00:35:28.886244,1900-01-01 00:35:28.873946,0.012298
237,392433367,30036160,500220078,1900-01-01 00:35:29.154839,1900-01-01 00:35:29.169961,0.015122
238,392433359,30036195,500220091,1900-01-01 00:35:29.423561,1900-01-01 00:35:29.470006,0.046445
239,392433358,30036198,500220091,1900-01-01 00:35:29.691919,1900-01-01 00:35:29.669992,0.021927
240,392433358,30036198,500220091,1900-01-01 00:35:29.960081,1900-01-01 00:35:29.974991,0.01491
241,392433358,30036198,500220091,1900-01-01 00:35:30.228229,1900-01-01 00:35:30.272023,0.043794
242,392433358,30036198,500220091,1900-01-01 00:35:30.496428,1900-01-01 00:35:30.470994,0.025434
243,392433358,30036198,500220091,1900-01-01 00:35:30.764532,1900-01-01 00:35:30.766981,0.002449
244,392433358,30036198,500220091,1900-01-01 00:35:31.032593,1900-01-01 00:35:31.065009,0.032416
245,392433358,30036198,500220091,1900-01-01 00:35:31.300851,1900-01-01 00:35:31.263965,0.036886
